invoice_no,quantity,price,invoice_date,shopping_mall
I138884,5,1500.4,5/8/2022,Kanyon
I317333,3,1800.51,12/12/2021,Forum Istanbul
I127801,1,300.08,9/11/2021,Metrocity
I173702,5,3000.85,16/05/2021,Metropol AVM
I337046,4,60.6,24/10/2021,Kanyon
I227836,5,1500.4,24/05/2022,Forum Istanbul
I121056,1,40.66,13/03/2022,Istinye Park
I293112,2,600.16,13/01/2021,Mall of Istanbul
I293455,3,900.24,4/11/2021,Metrocity
I326945,2,600.16,22/08/2021,Kanyon
I306368,2,10.46,25/12/2022,Metrocity
I139207,1,15.15,28/10/2022,Emaar Square Mall
I640508,4,143.36,31/07/2022,Metrocity
I179802,2,600.16,17/11/2022,Cevahir AVM
I336189,2,600.16,3/6/2022,Kanyon
I688768,5,3000.85,7/11/2021,Viaport Outlet
I294687,2,30.3,16/01/2021,Metrocity
I195744,3,15.69,5/1/2022,Zorlu Center
I993048,2,600.16,26/07/2021,Metropol AVM
I992454,4,143.36,7/3/2023,Cevahir AVM
I183746,1,300.08,15/02/2023,Emaar Square Mall
I412481,1,5.23,1/5/2021,Cevahir AVM
I823067,2,600.16,18/06/2022,Cevahir AVM
I252275,5,5250,26/10/2021,Kanyon
I174250,5,75.75,16/12/2022,Metrocity
I195396,2,71.68,16/05/2021,Istinye Park
I196704,5,203.3,20/04/2022,Mall of Istanbul
I217053,4,2400.68,10/10/2022,Emaar Square Mall
I655874,3,1800.51,23/08/2022,Cevahir AVM
I209744,3,121.98,29/04/2021,Istinye Park
I161949,3,107.52,4/7/2022,Mall of Istanbul
I331891,1,300.08,21/11/2021,Emaar Square Mall
I768348,3,1800.51,23/02/2022,Kanyon
I109053,4,1200.32,11/7/2021,Metrocity
I167211,4,2400.68,30/08/2022,Zorlu Center
I339732,1,5.23,4/1/2023,Emaar Square Mall
I147062,5,1500.4,21/06/2022,Kanyon
I187519,2,600.16,8/7/2022,Metrocity
I106674,2,600.16,27/02/2022,Kanyon
I473411,1,300.08,19/12/2022,Metropol AVM
I246550,3,15.69,10/9/2021,Zorlu Center
I138674,2,81.32,14/02/2022,Metropol AVM
I752693,3,121.98,28/04/2022,Metrocity
I826174,4,2400.68,20/06/2022,Metrocity
I296025,3,1800.51,21/04/2022,Kanyon
I117291,5,75.75,9/12/2022,Zorlu Center
I267193,3,121.98,12/1/2023,Mall of Istanbul
I205366,4,1200.32,7/11/2022,Zorlu Center
I269690,3,121.98,7/2/2022,Zorlu Center
I304265,5,75.75,13/06/2021,Forum Istanbul
I246562,5,203.3,23/08/2021,Emaar Square Mall
I202367,3,45.45,24/02/2023,Istinye Park
I664787,2,81.32,12/1/2023,Istinye Park
I160777,4,4200,22/02/2022,Metrocity
I137794,3,15.69,12/3/2021,Viaport Outlet
I148377,1,300.08,2/1/2022,Istinye Park
I258195,2,71.68,26/11/2021,Kanyon
I300213,4,1200.32,21/04/2021,Kanyon
I263803,3,15.69,23/06/2021,Kanyon
I335713,4,60.6,14/12/2021,Kanyon
I133061,5,1500.4,9/6/2022,Mall of Istanbul
I207205,1,300.08,26/11/2021,Kanyon
I209289,4,1200.32,5/2/2021,Kanyon
I157285,4,1200.32,6/3/2022,Mall of Istanbul
I218590,4,162.64,9/5/2022,Metropol AVM
I181109,3,107.52,17/10/2022,Mall of Istanbul
I221715,3,15.69,22/01/2022,Cevahir AVM
I204979,5,58.65,14/03/2021,Istinye Park
I115146,5,203.3,27/04/2022,Metrocity
I883721,5,5250,19/11/2021,Mall of Istanbul
I402376,5,3000.85,10/9/2022,Forum Istanbul
I251356,4,162.64,4/9/2021,Kanyon
I292239,5,26.15,21/08/2022,Mall of Istanbul
I276526,5,3000.85,2/10/2021,Emaar Square Mall
I260525,3,107.52,7/1/2023,Emaar Square Mall
I870944,3,35.19,8/6/2021,Cevahir AVM
I739573,5,1500.4,17/04/2021,Kanyon
I115870,4,2400.68,4/9/2021,Metrocity
I190444,5,26.15,20/07/2022,Mall of Istanbul
I309552,4,20.92,14/07/2021,Istinye Park
I306076,2,71.68,1/11/2022,Emaar Square Mall
I321683,4,162.64,6/1/2023,Metrocity
I151332,2,23.46,25/03/2021,Kanyon
I340014,2,600.16,8/9/2022,Istinye Park
I249424,1,5.23,18/02/2022,Mall of Istanbul
I227716,2,10.46,22/04/2021,Kanyon
I140663,5,1500.4,15/10/2022,Zorlu Center
I253242,5,3000.85,7/4/2022,Mall of Istanbul
I108359,1,5.23,7/6/2022,Mall of Istanbul
I195567,4,1200.32,22/01/2023,Metropol AVM
I289643,2,2100,22/08/2022,Kanyon
I722319,1,35.84,3/10/2021,Kanyon
I317105,5,58.65,29/07/2021,Kanyon
I215721,2,81.32,16/12/2022,Metrocity
I154469,3,107.52,3/6/2021,Mall of Istanbul
I172458,2,600.16,17/12/2021,Cevahir AVM
I297270,5,1500.4,31/12/2022,Metropol AVM
I153930,3,15.69,9/8/2022,Forum Istanbul
I282854,3,900.24,31/07/2022,Kanyon
I869144,4,20.92,4/5/2021,Mall of Istanbul
I283443,3,3150,25/05/2022,Viaport Outlet
